ID,householdID,ba001,ba002,da001,da002_1_,da002_2_,ca001,gb001
094004126001,0940041260,1 Male,,1 Very Good,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004126002,0940041260,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004111002,0940041110,1 Male,1 Male,,,99 Never Had the Disease,1 Main Respondent,26 Main Respondent
094004111001,0940041110,2 Female,,4 Poor,,3 Same,1 Main Respondent,26 Main Respondent
094004114001,0940041140,2 Female,,3 Fair,,,,26 Main Respondent
094004119002,0940041190,1 Male,,3 Fair,,,,26 Main Respondent
094004109001,0940041090,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004109002,0940041090,1 Male,,2 Good,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
094004116001,0940041160,1 Male,,2 Good,,3 Same,1 Main Respondent,26 Main Respondent
094004116002,0940041160,2 Female,,3 Fair,3 Same,3 Same,1 Main Respondent,26 Main Respondent
094004117002,0940041170,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
094004117001,0940041170,2 Female,,3 Fair,3 Same,1 Better,1 Main Respondent,27 Main Respondent's Spouse
094004313001,0940043130,2 Female,,2 Good,,,,26 Main Respondent
094004317002,0940043170,2 Female,,,2 Worse,2 Worse,2 Spouse,27 Main Respondent's Spouse
094004317001,0940043170,1 Male,,3 Fair,3 Same,,2 Spouse,27 Main Respondent's Spouse
094004316002,0940043160,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
094004316001,0940043160,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
094004308001,0940043080,2 Female,,3 Fair,,3 Same,,26 Main Respondent
094004305002,0940043050,2 Female,,3 Fair,,3 Same,,26 Main Respondent
094004303001,0940043030,1 Male,,2 Good,3 Same,,2 Spouse,1 HHMemberName[1]
094004303002,0940043030,2 Female,,3 Fair,1 Better,,2 Spouse,1 HHMemberName[1]
094004307001,0940043070,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
094004307002,0940043070,2 Female,,3 Fair,2 Worse,,1 Main Respondent,27 Main Respondent's Spouse
094004319001,0940043190,2 Female,,3 Fair,,3 Same,1 Main Respondent,27 Main Respondent's Spouse
094004319003,0940043190,1 Male,,2 Good,,3 Same,1 Main Respondent,27 Main Respondent's Spouse
094004322001,0940043220,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
094004318001,0940043180,2 Female,,2 Good,,3 Same,1 Main Respondent,26 Main Respondent
094004318002,0940043180,1 Male,,,,3 Same,1 Main Respondent,26 Main Respondent
094004311002,0940043110,1 Male,,,,,1 Main Respondent,26 Main Respondent
094004311001,0940043110,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
094004306002,0940043060,1 Male,,,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004306001,0940043060,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004219001,0940042190,2 Female,,,3 Same,,1 Main Respondent,2 HHMemberName[2]
094004219002,0940042190,1 Male,,,2 Worse,,1 Main Respondent,2 HHMemberName[2]
094004220002,0940042200,1 Male,,5 Very Poor,,,1 Main Respondent,26 Main Respondent
094004220001,0940042200,2 Female,,3 Fair,1 Better,3 Same,1 Main Respondent,26 Main Respondent
094004210002,0940042100,1 Male,,1 Very Good,1 Better,1 Better,2 Spouse,26 Main Respondent
094004210001,0940042100,2 Female,,4 Poor,3 Same,3 Same,2 Spouse,26 Main Respondent
094004205001,0940042050,2 Female,,4 Poor,,,,26 Main Respondent
094004217001,0940042170,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004213001,0940042130,1 Male,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
094004213002,0940042130,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004226001,0940042260,2 Female,,,,,,26 Main Respondent
094004214001,0940042140,2 Female,,,,3 Same,,1 HHMemberName[1]
094004216002,0940042160,1 Male,,3 Fair,1 Better,3 Same,1 Main Respondent,26 Main Respondent
094004216001,0940042160,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
094004204002,0940042040,2 Female,,3 Fair,,,,26 Main Respondent
094004212002,0940042120,2 Female,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
094004212001,0940042120,1 Male,,,,,1 Main Respondent,26 Main Respondent
094004222001,0940042220,1 Male,,3 Fair,,,,26 Main Respondent
194037223002,1940372230,1 Male,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037223001,1940372230,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037208002,1940372080,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
194037208001,1940372080,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037215002,1940372150,2 Female,,3 Fair,,,,26 Main Respondent
194037219002,1940372190,2 Female,,3 Fair,3 Same,3 Same,,26 Main Respondent
194037209002,1940372090,1 Male,,,,,2 Spouse,26 Main Respondent
194037209001,1940372090,2 Female,,,3 Same,3 Same,2 Spouse,26 Main Respondent
194037214002,1940372140,1 Male,,3 Fair,1 Better,1 Better,2 Spouse,27 Main Respondent's Spouse
194037214001,1940372140,2 Female,,3 Fair,,1 Better,2 Spouse,27 Main Respondent's Spouse
194037206002,1940372060,1 Male,,4 Poor,2 Worse,2 Worse,2 Spouse,27 Main Respondent's Spouse
194037206001,1940372060,2 Female,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037207001,1940372070,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
194037207002,1940372070,2 Female,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
194037218002,1940372180,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037218001,1940372180,2 Female,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
194037204001,1940372040,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037204002,1940372040,1 Male,,,3 Same,,1 Main Respondent,26 Main Respondent
194037224001,1940372240,1 Male,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
194037224002,1940372240,2 Female,,4 Poor,,,1 Main Respondent,26 Main Respondent
194037220001,1940372200,2 Female,,,1 Better,,1 Main Respondent,26 Main Respondent
194037220002,1940372200,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037211001,1940372110,2 Female,,,,,,26 Main Respondent
194037227002,1940372270,2 Female,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037227003,1940372270,1 Male,,,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037212002,1940372120,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
194037212001,1940372120,2 Female,,1 Very Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
194037333002,1940373330,1 Male,,1 Very Good,,,,26 Main Respondent
194037342002,1940373420,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037342001,1940373420,2 Female,,,,,2 Spouse,27 Main Respondent's Spouse
194037301002,1940373010,2 Female,,2 Good,,,1 Main Respondent,1 HHMemberName[1]
194037301001,1940373010,1 Male,,,,,1 Main Respondent,1 HHMemberName[1]
194037320001,1940373200,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037315002,1940373150,1 Male,,2 Good,,,,26 Main Respondent
194037311002,1940373110,1 Male,,2 Good,,,,26 Main Respondent
194037310001,1940373100,1 Male,,1 Very Good,1 Better,,1 Main Respondent,26 Main Respondent
194037310002,1940373100,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
194037329001,1940373290,2 Female,,1 Very Good,1 Better,,,2 HHMemberName[2]
194037316001,1940373160,1 Male,,2 Good,3 Same,,1 Main Respondent,26 Main Respondent
194037316002,1940373160,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037314001,1940373140,1 Male,,,1 Better,,2 Spouse,2 HHMemberName[2]
194037314002,1940373140,2 Female,,2 Good,,99 Never Had the Disease,2 Spouse,2 HHMemberName[2]
194037321001,1940373210,2 Female,,3 Fair,1 Better,,,26 Main Respondent
194037319001,1940373190,1 Male,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
194037319002,1940373190,2 Female,,,3 Same,,1 Main Respondent,26 Main Respondent
194037306002,1940373060,2 Female,,3 Fair,,,,26 Main Respondent
194037325002,1940373250,1 Male,,3 Fair,1 Better,3 Same,1 Main Respondent,27 Main Respondent's Spouse
194037325001,1940373250,2 Female,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
194037345002,1940373450,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
194037345001,1940373450,2 Female,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
194037351001,1940373510,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037351002,1940373510,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037308002,1940373080,1 Male,,,1 Better,,2 Spouse,27 Main Respondent's Spouse
194037308001,1940373080,2 Female,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
